epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,433.711,0.96421,0.61428,1.01178,0.74431,0.52574,0.57099,0.39401,1.25304,0.89498,1.16335,0.0005941,0.0005941,0.0005941
43,444.383,0.948,0.62387,1.04309,0.60889,0.54862,0.57837,0.38091,1.23666,0.91874,1.16012,0.0005842,0.0005842,0.0005842
44,454.995,0.92274,0.58905,1.00649,0.83411,0.35702,0.49057,0.34659,1.2288,0.89573,1.14564,0.0005743,0.0005743,0.0005743
45,464.6,0.94452,0.62857,1.01864,0.73397,0.40443,0.49721,0.35853,1.20261,0.91328,1.1402,0.0005644,0.0005644,0.0005644
46,475.187,0.9301,0.58698,1.01292,0.64147,0.56424,0.56364,0.36052,1.22796,0.85045,1.14242,0.0005545,0.0005545,0.0005545
47,485.531,0.9023,0.59079,0.99857,0.65911,0.54449,0.57307,0.34211,1.23141,0.87979,1.14704,0.0005446,0.0005446,0.0005446
48,495.507,0.92365,0.58964,0.99248,0.72228,0.54849,0.59117,0.33194,1.23326,0.85537,1.1423,0.0005347,0.0005347,0.0005347
49,505.772,0.88077,0.55526,0.99932,0.81166,0.56794,0.63988,0.37827,1.22879,0.79262,1.13076,0.0005248,0.0005248,0.0005248
50,516.139,0.92716,0.61103,1.00325,0.65235,0.56629,0.61617,0.32992,1.26189,0.83135,1.14584,0.0005149,0.0005149,0.0005149
51,526.256,0.92147,0.57395,0.99255,0.60639,0.57201,0.60853,0.32436,1.24023,0.81009,1.13232,0.000505,0.000505,0.000505
52,536.343,0.88383,0.56268,0.99009,0.6699,0.53661,0.61122,0.35022,1.23579,0.79262,1.14939,0.0004951,0.0004951,0.0004951
53,546.489,0.86662,0.53979,0.99275,0.80538,0.49653,0.60313,0.37949,1.22854,0.83756,1.14589,0.0004852,0.0004852,0.0004852
54,556.614,0.89092,0.56257,1.00114,0.54009,0.56892,0.54219,0.32036,1.23265,0.87582,1.14085,0.0004753,0.0004753,0.0004753
55,566.703,0.87644,0.54933,0.99486,0.49661,0.58287,0.54154,0.34453,1.23214,0.86405,1.15381,0.0004654,0.0004654,0.0004654
56,576.779,0.88284,0.55299,0.9949,0.67249,0.5375,0.59059,0.37088,1.22677,0.86143,1.13582,0.0004555,0.0004555,0.0004555
57,586.867,0.89282,0.54733,0.97969,0.60674,0.56718,0.60164,0.3417,1.24165,0.85704,1.16324,0.0004456,0.0004456,0.0004456
58,597.006,0.879,0.53746,0.97836,0.77447,0.46693,0.64116,0.37503,1.22021,0.87019,1.13866,0.0004357,0.0004357,0.0004357
59,606.771,0.84715,0.5202,0.96756,0.8225,0.47036,0.63947,0.35271,1.22672,0.84714,1.14916,0.0004258,0.0004258,0.0004258
60,617.124,0.83097,0.51754,0.95649,0.74928,0.52432,0.62615,0.37844,1.22426,0.85112,1.14801,0.0004159,0.0004159,0.0004159
61,627.32,0.83813,0.5099,0.96089,0.74615,0.48909,0.57669,0.33992,1.21926,0.86437,1.14659,0.000406,0.000406,0.000406
62,636.954,0.8277,0.51897,0.96653,0.52225,0.51784,0.52827,0.34864,1.21478,0.8457,1.15379,0.0003961,0.0003961,0.0003961
63,647.225,0.84567,0.52642,0.98186,0.77973,0.40525,0.54475,0.36423,1.23073,0.87489,1.16633,0.0003862,0.0003862,0.0003862
64,657.753,0.81403,0.51278,0.96919,0.70846,0.46368,0.54318,0.35873,1.23053,0.86244,1.15546,0.0003763,0.0003763,0.0003763
65,667.455,0.80612,0.49822,0.97421,0.48932,0.52947,0.5295,0.33597,1.19607,0.80385,1.13616,0.0003664,0.0003664,0.0003664
66,677.797,0.82074,0.47812,0.95311,0.66549,0.45446,0.5136,0.32547,1.21597,0.84761,1.1485,0.0003565,0.0003565,0.0003565
67,688.05,0.77835,0.46725,0.94697,0.52288,0.5557,0.53729,0.34837,1.21095,0.87698,1.15351,0.0003466,0.0003466,0.0003466
68,698.021,0.80241,0.48325,0.95527,0.47613,0.51269,0.55475,0.36447,1.23955,0.84385,1.16718,0.0003367,0.0003367,0.0003367
69,708.208,0.77796,0.4624,0.91791,0.79145,0.39989,0.53345,0.34882,1.20217,0.82743,1.13962,0.0003268,0.0003268,0.0003268
70,718.412,0.77499,0.46915,0.94958,0.6472,0.56056,0.57468,0.36074,1.20032,0.83993,1.14273,0.0003169,0.0003169,0.0003169
71,728.422,0.76882,0.46338,0.94514,0.6403,0.48692,0.54931,0.34874,1.19654,0.85253,1.14173,0.000307,0.000307,0.000307
72,738.58,0.77575,0.44728,0.9338,0.74774,0.43774,0.54989,0.35408,1.18622,0.80335,1.14095,0.0002971,0.0002971,0.0002971
73,748.624,0.75693,0.45678,0.93946,0.72875,0.44973,0.54355,0.34607,1.20707,0.82428,1.14768,0.0002872,0.0002872,0.0002872
74,758.995,0.74185,0.461,0.94146,0.74868,0.43848,0.55466,0.33805,1.18901,0.79608,1.14137,0.0002773,0.0002773,0.0002773
75,769.633,0.7545,0.45153,0.93288,0.62117,0.52979,0.62402,0.37134,1.19206,0.79734,1.14011,0.0002674,0.0002674,0.0002674
76,779.325,0.76099,0.45874,0.9484,0.64959,0.5948,0.63455,0.36753,1.22195,0.80921,1.15571,0.0002575,0.0002575,0.0002575
77,789.643,0.75466,0.46717,0.93064,0.71728,0.5685,0.63332,0.3566,1.19568,0.79943,1.13736,0.0002476,0.0002476,0.0002476
78,800.368,0.76545,0.46973,0.92349,0.59688,0.55623,0.59609,0.35679,1.20709,0.8308,1.13865,0.0002377,0.0002377,0.0002377
79,810.157,0.76501,0.45092,0.94675,0.55385,0.5632,0.59915,0.35699,1.19715,0.82297,1.13499,0.0002278,0.0002278,0.0002278
80,820.505,0.69657,0.41393,0.91535,0.77945,0.52075,0.60627,0.3532,1.20179,0.8121,1.14205,0.0002179,0.0002179,0.0002179
81,831.025,0.7111,0.41927,0.91046,0.70347,0.56006,0.60912,0.34413,1.20933,0.80631,1.14413,0.000208,0.000208,0.000208
82,840.946,0.78337,0.46864,0.96781,0.59064,0.61369,0.63257,0.35538,1.20685,0.80548,1.14984,0.0001981,0.0001981,0.0001981
83,851.319,0.74749,0.43097,0.91878,0.66938,0.56547,0.62433,0.36573,1.18842,0.80826,1.13992,0.0001882,0.0001882,0.0001882
84,861.688,0.71688,0.4073,0.90095,0.67804,0.57963,0.60662,0.36377,1.18648,0.79826,1.14154,0.0001783,0.0001783,0.0001783
